tweet,normalized_tweet
"Goood morning Twitter #ElonMusk biggest conman world ever see.       Buy Twitter with him mouth,  just to sell shares from Tesla, Tesla stock way too high.  Now stock sell man still naah pay cent on Twitter 🤣🤣","Good morning Twitter #ElonMusk biggest conman world ever see.       Buy Twitter with him mouth,  just to sell shares from Tesla, Tesla stock way too high.  Now stock sell man still naah pay cent on Twitter 🤣🤣"
@thyAshes @Tesla Broooooooo congrats,@thyAshes @Tesla Bro congrats
"@thefarcentrist @max_roi @ThomasMoneyhon @coldgamecrispy @TheAlexisKraft @elonmusk Ummm... No, he threw his PayPal money at a roadster frame licensed from Lotus. Then he convinced enough investors into funding Tesla. Then he got investors into his space stuff. All he did was throw other people's money at projects. #ElonMusk #elongatedmuskrat #ElonMuskTwitter  https://t.co/vfPVuzGe1V","@thefarcentrist @max_roi @ThomasMoneyhon @coldgamecrispy @TheAlexisKraft @elonmusk Um... No, he threw his PayPal money at a roadster frame licensed from Lotus. Then he convinced enough investors into funding Tesla. Then he got investors into his space stuff. All he did was throw other people's money at projects. #ElonMusk #elongatedmuskrat #ElonMuskTwitter  https://t.co/vfPVuzGe1V"
Whip a Tesla Whip a fucking teslaaaaaaa,Whip a Tesla Whip a fucking tesla
@Jones_Malvin @BaRuvaaa @bdbbabbie hanzi zviriko zvima extra kune vaimbi NEMA actor nevakagadzira tesla lol,@Jones_Malvin @BaRuvaaa @bdbbabbie hanzi zviriko zvima extra kune vaimbi NEMA actor nevakagadzira tesla lol
@panca66 maunya gratis ?? Ganti mobil Tesla cuk !!  Ngak perlu Bensin! Begooo,@panca66 maunya gratis ?? Ganti mobil Tesla cuk !!  Ngak perlu Bensin! Bego
"@XRMultiverse @crush3ddd @ranguitar @aasifferdous @PPathole @elonmusk He didn't flood the market with Tesla stock my guy, that's why it dropped and with it not happening it will likely rebound.  Twitter is kinda fucked though","@XRMultiverse @crush3ddd @ranguitar @aasifferdous @PPathole @elonmusk He didn't flood the market with Tesla stock my guy, that's why it dropped and with it not happening it will likely rebound.  Twitter is kinda fucked though"
@Branche_SC @eshmeeeesh I’d bet on Elons lawyers over Twitters; probably a reduce break up fee. Overall bullish for Tesla if they did this deal Tesla would have been in serious trouble due to a possible Musk margin call scenario,@Branche_SC @eshmeeeesh I’d bet on Elons lawyers over Twitters; probably a reduce break up fee. Overall bullish for Tesla if they did this deal Tesla would have been in serious trouble due to a possible Musk margin call scenario
@JennBeautiful Tesla and Jeep? Yasss queen,@JennBeautiful Tesla and Jeep? Yas queen
"Difference between Bezos and Musk is that while Bezos is rich and evil b/c of exploitation of his workers, at least Amazon is a real product with real value to society.  Musk is all crypto (totally fake) and Tesla (makes bad unsafe cars and is waaaaay overvalued vs how much made)","Difference between Bezos and Musk is that while Bezos is rich and evil b/c of exploitation of his workers, at least Amazon is a real product with real value to society.  Musk is all crypto (totally fake) and Tesla (makes bad unsafe cars and is way overvalued vs how much made)"
@elonmusk @GailAlfarATX @Tesla @teslacn @TeslaOwnersEBay @blueskykites @Kristennetten @JenniCurrent @daelmor @IheartTesla @EvrybodynthrMom Muskkkoo,@elonmusk @GailAlfarATX @Tesla @teslacn @TeslaOwnersEBay @blueskykites @Kristennetten @JenniCurrent @daelmor @IheartTesla @EvrybodynthrMom Muskkkoo
"@Tom_coool @SerbiaBased @trbltrbl1 Hehe hundreds of thousents 🤣  That is another theme and its not related for your first statement  Pls you have 2 simple questions to answer  Pls be adult and normal.Dont just to some ""evil Seebians media article""  How is Serbia Fascist at time of Tesla? Where Tesla lived b USA","@Tom_coool @SerbiaBased @trbltrbl1 Hehe hundreds of thousents 🤣  That is another theme and its not related for your first statement  Pls you have 2 simple questions to answer  Pls be adult and normal.Dont just to some ""evil Seebians media article""  How is Serbia Fascist at time of Tesla? Where Tesla lived b USA"
Most active NASDAQ listed stocks so far today  Dollar Volume: Tesla $TSLA $QQQ Apple $AAPL Nvidia $NVDA Amazon $AMZN $AMD $SQQQ $TQQQ Microsoft $MSFT Facebook $META  Volume: $MULN $PLRX Sundial $SNDL $GRAB American $AAL Pinduoduo $PDD Rivian $RIVN $OPEN Upstart $UPST $DKNG $SOFI,Most active NASDAQ listed stocks so far today  Dollar Volume: Tesla $TSLA $QQQ Apple $AAPL Nvidia $NVDA Amazon $AMZN $AMD $SQQQ $TQQQ Microsoft $MSFT Facebook $META  Volume: $MULN $PLRX Sundial $SNDL $GRAB American $AAL Pinduoduo $PDD Rivian $RIVN $OPEN Upstart $UPST $DKNG $SOFI
"Jaaaaajajaja, estos de Tesla y de la Sorbonne son unos tirribles, siempre haciéndote de tonto @MashiRafael","Jaaaaajajaja, estos de Tesla y de la Sorbonne son unos tirribles, siempre haciéndote de tonto @MashiRafael"
"Pewwnnn, that’s how the Tesla gone sound if I fly pass you","Pewwnnn, that’s how the Tesla gone sound if I fly pass you"
@dogesuppporteam @elonmusk Ya.  Cause Elongate did so well with Twitter resulting in it's share price tanking and Tesla's at the same time.  Probably Betcoin got sideswiped by this narcisssist as well.,@dogesuppporteam @elonmusk Ya.  Cause Elongate did so well with Twitter resulting in it's share price tanking and Tesla's at the same time.  Probably Betcoin got sideswiped by this narcissist as well.
@TESLA_no_TUNO 👀✨ すげー捨てますwww  https://t.co/x9tBPoM4U7,@TESLA_no_TUNO 👀✨ すげー捨てますwww  https://t.co/x9tBPoM4U7
