post_id,tweet,tweet_tokenizer,spacy,nltk_word_tokenize
1,"#ICYMI  #Vibes To Ease You Back Into The #Work Week! Join Me In The Latest #Liveone #HIPHOP #RnB Countdown...U Pick Em, I Play Em @liveone   Listen On The Job, On The Go...In Ya @Tesla  ▶️ https://t.co/xLTr3ndbDM  https://t.co/cbYgGKVetn","['#ICYMI', '#Vibes', 'To', 'Ease', 'You', 'Back', 'Into', 'The', '#Work', 'Week', '!', 'Join', 'Me', 'In', 'The', 'Latest', '#Liveone', '#HIPHOP', '#RnB', 'Countdown', '...', 'U', 'Pick', 'Em', ',', 'I', 'Play', 'Em', '@liveone', 'Listen', 'On', 'The', 'Job', ',', 'On', 'The', 'Go', '...', 'In', 'Ya', '@Tesla', '▶', '️', 'https://t.co/xLTr3ndbDM', 'https://t.co/cbYgGKVetn']","['#', 'ICYMI', ' ', '#', 'Vibes', 'To', 'Ease', 'You', 'Back', 'Into', 'The', '#', 'Work', 'Week', '!', 'Join', 'Me', 'In', 'The', 'Latest', '#', 'Liveone', '#', 'HIPHOP', '#', 'RnB', 'Countdown', '...', 'U', 'Pick', 'Em', ',', 'I', 'Play', 'Em', '@liveone', '  ', 'Listen', 'On', 'The', 'Job', ',', 'On', 'The', 'Go', '...', 'In', 'Ya', '@Tesla', ' ', '▶', '️', 'https://t.co/xLTr3ndbDM', ' ', 'https://t.co/cbYgGKVetn']","['#', 'ICYMI', '#', 'Vibes', 'To', 'Ease', 'You', 'Back', 'Into', 'The', '#', 'Work', 'Week', '!', 'Join', 'Me', 'In', 'The', 'Latest', '#', 'Liveone', '#', 'HIPHOP', '#', 'RnB', 'Countdown', '...', 'U', 'Pick', 'Em', ',', 'I', 'Play', 'Em', '@', 'liveone', 'Listen', 'On', 'The', 'Job', ',', 'On', 'The', 'Go', '...', 'In', 'Ya', '@', 'Tesla', '▶️', 'https', ':', '//t.co/xLTr3ndbDM', 'https', ':', '//t.co/cbYgGKVetn']"
2,@rovercrc #btc I guess it will go higher this week maybe 70k lol 😆 @cryptocom $tesla #BNB #Bitcoin  https://t.co/H4ivHAJac2,"['@rovercrc', '#btc', 'I', 'guess', 'it', 'will', 'go', 'higher', 'this', 'week', 'maybe', '70k', 'lol', '😆', '@cryptocom', '$', 'tesla', '#BNB', '#Bitcoin', 'https://t.co/H4ivHAJac2']","['@rovercrc', '#', 'btc', 'I', 'guess', 'it', 'will', 'go', 'higher', 'this', 'week', 'maybe', '70k', 'lol', '😆', '@cryptocom', '$', 'tesla', '#', 'BNB', '#', 'Bitcoin', ' ', 'https://t.co/H4ivHAJac2']","['@', 'rovercrc', '#', 'btc', 'I', 'guess', 'it', 'will', 'go', 'higher', 'this', 'week', 'maybe', '70k', 'lol', '😆', '@', 'cryptocom', '$', 'tesla', '#', 'BNB', '#', 'Bitcoin', 'https', ':', '//t.co/H4ivHAJac2']"
3,I'm without glasses so I cannot see if he had a Tesla logo... lol 😆 🤣 😂  I'm very happy he played chess. #chess @FIDE_chess @USChess  https://t.co/hWUrAqttlZ,"[""I'm"", 'without', 'glasses', 'so', 'I', 'cannot', 'see', 'if', 'he', 'had', 'a', 'Tesla', 'logo', '...', 'lol', '😆', '🤣', '😂', ""I'm"", 'very', 'happy', 'he', 'played', 'chess', '.', '#chess', '@FIDE_chess', '@USChess', 'https://t.co/hWUrAqttlZ']","['I', ""'m"", 'without', 'glasses', 'so', 'I', 'can', 'not', 'see', 'if', 'he', 'had', 'a', 'Tesla', 'logo', '...', 'lol', '😆', '🤣', '😂', ' ', 'I', ""'m"", 'very', 'happy', 'he', 'played', 'chess', '.', '#', 'chess', '@FIDE_chess', '@USChess', ' ', 'https://t.co/hWUrAqttlZ']","['I', ""'m"", 'without', 'glasses', 'so', 'I', 'can', 'not', 'see', 'if', 'he', 'had', 'a', 'Tesla', 'logo', '...', 'lol', '😆', '🤣', '😂', 'I', ""'m"", 'very', 'happy', 'he', 'played', 'chess', '.', '#', 'chess', '@', 'FIDE_chess', '@', 'USChess', 'https', ':', '//t.co/hWUrAqttlZ']"
4,@VoltInuOfficial My entry  $volt #volt #voltinu  Nikola Tesla beats Thomas Edison in creating the most powerful source of electricity ⚡️  https://t.co/KWoXJXj4n6,"['@VoltInuOfficial', 'My', 'entry', '$', 'volt', '#volt', '#voltinu', 'Nikola', 'Tesla', 'beats', 'Thomas', 'Edison', 'in', 'creating', 'the', 'most', 'powerful', 'source', 'of', 'electricity', '⚡', '️', 'https://t.co/KWoXJXj4n6']","['@VoltInuOfficial', 'My', 'entry', ' ', '$', 'volt', '#', 'volt', '#', 'voltinu', ' ', 'Nikola', 'Tesla', 'beats', 'Thomas', 'Edison', 'in', 'creating', 'the', 'most', 'powerful', 'source', 'of', 'electricity', '⚡', '️', ' ', 'https://t.co/KWoXJXj4n6']","['@', 'VoltInuOfficial', 'My', 'entry', '$', 'volt', '#', 'volt', '#', 'voltinu', 'Nikola', 'Tesla', 'beats', 'Thomas', 'Edison', 'in', 'creating', 'the', 'most', 'powerful', 'source', 'of', 'electricity', '⚡️', 'https', ':', '//t.co/KWoXJXj4n6']"
5,"@socratesxoxo @thefarcentrist @ThomasMoneyhon @coldgamecrispy @TheAlexisKraft @elonmusk ""He also paid off his debt unlike u did""  Boy, you're just full of your ASSuming self aren't you. 🤭  So the 2 ..3 guys that started Tesla 'were not revolutionizing' the electric car industry  🤦‍♀️  Show me my ""misinformation""  I've attached a few of yours  ...  https://t.co/39IFmDq79y","['@socratesxoxo', '@thefarcentrist', '@ThomasMoneyhon', '@coldgamecrispy', '@TheAlexisKraft', '@elonmusk', '""', 'He', 'also', 'paid', 'off', 'his', 'debt', 'unlike', 'u', 'did', '""', 'Boy', ',', ""you're"", 'just', 'full', 'of', 'your', 'ASSuming', 'self', ""aren't"", 'you', '.', '🤭', 'So', 'the', '2', '..', '3', 'guys', 'that', 'started', 'Tesla', ""'"", 'were', 'not', 'revolutionizing', ""'"", 'the', 'electric', 'car', 'industry', '🤦\u200d♀', '️', 'Show', 'me', 'my', '""', 'misinformation', '""', ""I've"", 'attached', 'a', 'few', 'of', 'yours', '...', 'https://t.co/39IFmDq79y']","['@socratesxoxo', '@thefarcentrist', '@ThomasMoneyhon', '@coldgamecrispy', '@TheAlexisKraft', '@elonmusk', '""', 'He', 'also', 'paid', 'off', 'his', 'debt', 'unlike', 'u', 'did', '""', ' ', 'Boy', ',', 'you', ""'re"", 'just', 'full', 'of', 'your', 'ASSuming', 'self', 'are', ""n't"", 'you', '.', '🤭', ' ', 'So', 'the', '2', '..', '3', 'guys', 'that', 'started', 'Tesla', ""'"", 'were', 'not', 'revolutionizing', ""'"", 'the', 'electric', 'car', 'industry', ' ', '🤦', '\u200d', '♀', '️', ' ', 'Show', 'me', 'my', '""', 'misinformation', '""', ' ', 'I', ""'ve"", 'attached', 'a', 'few', 'of', 'yours', ' ', '...', ' ', 'https://t.co/39IFmDq79y']","['@', 'socratesxoxo', '@', 'thefarcentrist', '@', 'ThomasMoneyhon', '@', 'coldgamecrispy', '@', 'TheAlexisKraft', '@', 'elonmusk', '``', 'He', 'also', 'paid', 'off', 'his', 'debt', 'unlike', 'u', 'did', ""''"", 'Boy', ',', 'you', ""'re"", 'just', 'full', 'of', 'your', 'ASSuming', 'self', 'are', ""n't"", 'you', '.', '🤭', 'So', 'the', '2', '..', '3', 'guys', 'that', 'started', 'Tesla', ""'"", 'were', 'not', 'revolutionizing', ""'"", 'the', 'electric', 'car', 'industry', '🤦\u200d♀️', 'Show', 'me', 'my', '``', 'misinformation', ""''"", 'I', ""'ve"", 'attached', 'a', 'few', 'of', 'yours', '...', 'https', ':', '//t.co/39IFmDq79y']"
6,Want to charge ⚡️your non-@tesla at a public Supercharger site? Fancy some of Elon's electrons? @Nickishields takes you through the whole process...  See the full video and other charging guides:  https://t.co/RSpqLajjjd #tesla #supercharging  https://t.co/fKj9kmySuB,"['Want', 'to', 'charge', '⚡', '️your', 'non', '-', '@tesla', 'at', 'a', 'public', 'Supercharger', 'site', '?', 'Fancy', 'some', 'of', ""Elon's"", 'electrons', '?', '@Nickishields', 'takes', 'you', 'through', 'the', 'whole', 'process', '...', 'See', 'the', 'full', 'video', 'and', 'other', 'charging', 'guides', ':', 'https://t.co/RSpqLajjjd', '#tesla', '#supercharging', 'https://t.co/fKj9kmySuB']","['Want', 'to', 'charge', '⚡', '️your', 'non-@tesla', 'at', 'a', 'public', 'Supercharger', 'site', '?', 'Fancy', 'some', 'of', 'Elon', ""'s"", 'electrons', '?', '@Nickishields', 'takes', 'you', 'through', 'the', 'whole', 'process', '...', ' ', 'See', 'the', 'full', 'video', 'and', 'other', 'charging', 'guides', ':', ' ', 'https://t.co/RSpqLajjjd', '#', 'tesla', '#', 'supercharging', ' ', 'https://t.co/fKj9kmySuB']","['Want', 'to', 'charge', '⚡️your', 'non-', '@', 'tesla', 'at', 'a', 'public', 'Supercharger', 'site', '?', 'Fancy', 'some', 'of', 'Elon', ""'s"", 'electrons', '?', '@', 'Nickishields', 'takes', 'you', 'through', 'the', 'whole', 'process', '...', 'See', 'the', 'full', 'video', 'and', 'other', 'charging', 'guides', ':', 'https', ':', '//t.co/RSpqLajjjd', '#', 'tesla', '#', 'supercharging', 'https', ':', '//t.co/fKj9kmySuB']"
7,"""The #nickel reserve in #Quebec can DOUBLE.""  Find out when @CampbellMccrary of #AMVESTCapital invites Tony Guo CEO of Nickel North $NNX.V  🗓 1:00pm EST Thurs July 14, 2022 #Join 👉  https://t.co/qoeqcRlZX7 #cleanenergy #battery $TSLA @Tesla @JulesInvest @Rivian @RivianChat  https://t.co/K6NKeAkweZ","['""', 'The', '#nickel', 'reserve', 'in', '#Quebec', 'can', 'DOUBLE', '.', '""', 'Find', 'out', 'when', '@CampbellMccrary', 'of', '#AMVESTCapital', 'invites', 'Tony', 'Guo', 'CEO', 'of', 'Nickel', 'North', '$', 'NNX', '.', 'V', '🗓', '1:00', 'pm', 'EST', 'Thurs', 'July', '14', ',', '2022', '#Join', '👉', 'https://t.co/qoeqcRlZX7', '#cleanenergy', '#battery', '$', 'TSLA', '@Tesla', '@JulesInvest', '@Rivian', '@RivianChat', 'https://t.co/K6NKeAkweZ']","['""', 'The', '#', 'nickel', 'reserve', 'in', '#', 'Quebec', 'can', 'DOUBLE', '.', '""', ' ', 'Find', 'out', 'when', '@CampbellMccrary', 'of', '#', 'AMVESTCapital', 'invites', 'Tony', 'Guo', 'CEO', 'of', 'Nickel', 'North', '$', 'NNX.V', ' ', '🗓', '1:00pm', 'EST', 'Thurs', 'July', '14', ',', '2022', '#', 'Join', '👉', ' ', 'https://t.co/qoeqcRlZX7', '#', 'cleanenergy', '#', 'battery', '$', 'TSLA', '@Tesla', '@JulesInvest', '@Rivian', '@RivianChat', ' ', 'https://t.co/K6NKeAkweZ']","['``', 'The', '#', 'nickel', 'reserve', 'in', '#', 'Quebec', 'can', 'DOUBLE', '.', ""''"", 'Find', 'out', 'when', '@', 'CampbellMccrary', 'of', '#', 'AMVESTCapital', 'invites', 'Tony', 'Guo', 'CEO', 'of', 'Nickel', 'North', '$', 'NNX.V', '🗓', '1:00pm', 'EST', 'Thurs', 'July', '14', ',', '2022', '#', 'Join', '👉', 'https', ':', '//t.co/qoeqcRlZX7', '#', 'cleanenergy', '#', 'battery', '$', 'TSLA', '@', 'Tesla', '@', 'JulesInvest', '@', 'Rivian', '@', 'RivianChat', 'https', ':', '//t.co/K6NKeAkweZ']"
8,Gotta be nice to your Tesla ‘s. 🤖on wheels. @elonmusk @WholeMarsBlog @teslaownersSV @TeslaDiva99 @TeslaJoy @28delayslater  https://t.co/TlRnIUxIb6,"['Gotta', 'be', 'nice', 'to', 'your', 'Tesla', '‘', 's', '.', '🤖', 'on', 'wheels', '.', '@elonmusk', '@WholeMarsBlog', '@teslaownersSV', '@TeslaDiva99', '@TeslaJoy', '@28delayslater', 'https://t.co/TlRnIUxIb6']","['Got', 'ta', 'be', 'nice', 'to', 'your', 'Tesla', '‘', 's.', '🤖', 'on', 'wheels', '.', '@elonmusk', '@WholeMarsBlog', '@teslaownersSV', '@TeslaDiva99', '@TeslaJoy', '@28delayslater', ' ', 'https://t.co/TlRnIUxIb6']","['Got', 'ta', 'be', 'nice', 'to', 'your', 'Tesla', '‘', 's', '.', '🤖on', 'wheels', '.', '@', 'elonmusk', '@', 'WholeMarsBlog', '@', 'teslaownersSV', '@', 'TeslaDiva99', '@', 'TeslaJoy', '@', '28delayslater', 'https', ':', '//t.co/TlRnIUxIb6']"
9,Modern day Nikola #Tesla 🤔🤔🤔 what do you think? 🔥🔥🔥 #ElonMusk @elonmusk #dogearmy #dogecoin  https://t.co/Fc2ZSBmRcG,"['Modern', 'day', 'Nikola', '#Tesla', '🤔', '🤔', '🤔', 'what', 'do', 'you', 'think', '?', '🔥', '🔥', '🔥', '#ElonMusk', '@elonmusk', '#dogearmy', '#dogecoin', 'https://t.co/Fc2ZSBmRcG']","['Modern', 'day', 'Nikola', '#', 'Tesla', '🤔', '🤔', '🤔', 'what', 'do', 'you', 'think', '?', '🔥', '🔥', '🔥', '#', 'ElonMusk', '@elonmusk', '#', 'dogearmy', '#', 'dogecoin', ' ', 'https://t.co/Fc2ZSBmRcG']","['Modern', 'day', 'Nikola', '#', 'Tesla', '🤔🤔🤔', 'what', 'do', 'you', 'think', '?', '🔥🔥🔥', '#', 'ElonMusk', '@', 'elonmusk', '#', 'dogearmy', '#', 'dogecoin', 'https', ':', '//t.co/Fc2ZSBmRcG']"
10,Day 4 of posting this meme until @elonmusk delivers the first refreshed Model S &amp; X in Europe. ⚡️ #Tesla $TSLA #TeslaModelS #TeslaModelX  https://t.co/TELpNeOXJK,"['Day', '4', 'of', 'posting', 'this', 'meme', 'until', '@elonmusk', 'delivers', 'the', 'first', 'refreshed', 'Model', 'S', '&', 'X', 'in', 'Europe', '.', '⚡', '️', '#Tesla', '$', 'TSLA', '#TeslaModelS', '#TeslaModelX', 'https://t.co/TELpNeOXJK']","['Day', '4', 'of', 'posting', 'this', 'meme', 'until', '@elonmusk', 'delivers', 'the', 'first', 'refreshed', 'Model', 'S', '&', 'amp', ';', 'X', 'in', 'Europe', '.', '⚡', '️', '#', 'Tesla', '$', 'TSLA', '#', 'TeslaModelS', '#', 'TeslaModelX', ' ', 'https://t.co/TELpNeOXJK']","['Day', '4', 'of', 'posting', 'this', 'meme', 'until', '@', 'elonmusk', 'delivers', 'the', 'first', 'refreshed', 'Model', 'S', '&', 'amp', ';', 'X', 'in', 'Europe', '.', '⚡️', '#', 'Tesla', '$', 'TSLA', '#', 'TeslaModelS', '#', 'TeslaModelX', 'https', ':', '//t.co/TELpNeOXJK']"
